Age,School,Experiment,Example,Choice,AgeGroup,Location
42,,US_Turk_Adults,Snowman,Material,Adults,US
26,,US_Turk_Adults,Snowman,Shape,Adults,US
31,,US_Turk_Adults,Snowman,Shape,Adults,US
28,,US_Turk_Adults,Snowman,Shape,Adults,US
34,,US_Turk_Adults,Snowman,Material,Adults,US
39,,US_Turk_Adults,Snowman,Material,Adults,US
32,,US_Turk_Adults,Snowman,Shape,Adults,US
31,,US_Turk_Adults,Snowman,Material,Adults,US
25,,US_Turk_Adults,Snowman,Material,Adults,US
28,,US_Turk_Adults,Snowman,Shape,Adults,US
42,,US_Turk_Adults,Snowman,Material,Adults,US
23,,US_Turk_Adults,Snowman,Material,Adults,US
21,,US_Turk_Adults,Snowman,Shape,Adults,US
41,,US_Turk_Adults,Snowman,Material,Adults,US
56,,US_Turk_Adults,Snowman,Material,Adults,US
36,,US_Turk_Adults,Snowman,Material,Adults,US
45,,US_Turk_Adults,Snowman,Shape,Adults,US
24,,US_Turk_Adults,Snowman,Shape,Adults,US
,,US_Turk_Adults,Snowman,Shape,Adults,US
25,,US_Turk_Adults,Snowman,Shape,Adults,US
26,,US_Turk_Adults,Snowman,Material,Adults,US
25,,US_Turk_Adults,Snowman,Material,Adults,US
27,,US_Turk_Adults,Snowman,Material,Adults,US
28,,US_Turk_Adults,Snowman,Shape,Adults,US
46,,US_Turk_Adults,Snowman,Shape,Adults,US
24,,US_Turk_Adults,Snowman,Material,Adults,US
28,,US_Turk_Adults,Snowman,Material,Adults,US
19,,US_Turk_Adults,Snowman,Shape,Adults,US
26,,US_Turk_Adults,Snowman,Shape,Adults,US
33,,US_Turk_Adults,Snowman,Shape,Adults,US
32,,US_Turk_Adults,Snowman,Material,Adults,US
25,,US_Turk_Adults,Snowman,Color,Adults,US
27,,US_Turk_Adults,Snowman,Shape,Adults,US
32,,US_Turk_Adults,Snowman,Color,Adults,US
26,,US_Turk_Adults,Snowman,Material,Adults,US
31,,US_Turk_Adults,Snowman,Material,Adults,US
31,,US_Turk_Adults,Snowman,Shape,Adults,US
20,,US_Turk_Adults,Snowman,Shape,Adults,US
24,,US_Turk_Adults,Snowman,Shape,Adults,US
23,,US_Turk_Adults,Lamp,Material,Adults,US
40,,US_Turk_Adults,Lamp,Shape,Adults,US
22,,US_Turk_Adults,Lamp,Shape,Adults,US
28,,US_Turk_Adults,Lamp,Shape,Adults,US
27,,US_Turk_Adults,Lamp,Shape,Adults,US
32,,US_Turk_Adults,Lamp,Shape,Adults,US
24,,US_Turk_Adults,Lamp,Material,Adults,US
20,,US_Turk_Adults,Lamp,Shape,Adults,US
29,,US_Turk_Adults,Lamp,Shape,Adults,US
53,,US_Turk_Adults,Lamp,Material,Adults,US
29,,US_Turk_Adults,Lamp,Shape,Adults,US
32,,US_Turk_Adults,Lamp,Shape,Adults,US
34,,US_Turk_Adults,Lamp,Shape,Adults,US
29,,US_Turk_Adults,Lamp,Shape,Adults,US
44,,US_Turk_Adults,Lamp,Shape,Adults,US
27,,US_Turk_Adults,Lamp,Shape,Adults,US
34,,US_Turk_Adults,Lamp,Shape,Adults,US
34,,US_Turk_Adults,Lamp,Shape,Adults,US
28,,US_Turk_Adults,Lamp,Shape,Adults,US
